tableName,fieldName,dataClass,isRequired,primaryKey
analysis_ref,analysis_id,integer,Yes,Yes
analysis_ref,analysis_name,varchar(50),Yes,No
analysis_ref,domain_id,varchar(20),No,No
analysis_ref,start_day,float,No,No
analysis_ref,end_day,float,No,No
analysis_ref,is_binary,varchar(1),Yes,No
analysis_ref,missing_means_zero,varchar(1),No,No
cohort,cohort_full_name,varchar(255),Yes,No
cohort,cohort_id,integer,Yes,Yes
cohort,cohort_name,varchar(255),Yes,No
cohort,sql,varchar(max),Yes,No
cohort,json,varchar(max),Yes,No
cohort_count,cohort_id,integer,Yes,Yes
cohort_count,cohort_entries,float,Yes,No
cohort_count,cohort_subjects,float,Yes,No
cohort_count,database_id,varchar(20),Yes,Yes
cohort_inc_result,cohort_definition_id,integer,Yes,Yes
cohort_inc_result,inclusion_rule_mask,float,Yes,No
cohort_inc_result,person_count,float,Yes,No
cohort_inc_result,mode_id,integer,Yes,Yes
cohort_inc_stats,cohort_definition_id,integer,Yes,Yes
cohort_inc_stats,rule_sequence,float,Yes,Yes
cohort_inc_stats,person_count,float,Yes,No
cohort_inc_stats,gain_count,float,Yes,No
cohort_inc_stats,person_total,float,Yes,No
cohort_inc_stats,mode_id,integer,Yes,Yes
cohort_inclusion,cohort_definition_id,integer,Yes,Yes
cohort_inclusion,rule_sequence,float,Yes,Yes
cohort_inclusion,name,varchar(50),Yes,No
cohort_inclusion,description,varchar(1),No,No
cohort_overlap,either_subjects,float,Yes,No
cohort_overlap,both_subjects,float,Yes,No
cohort_overlap,t_only_subjects,float,Yes,No
cohort_overlap,c_only_subjects,float,Yes,No
cohort_overlap,t_before_c_subjects,float,Yes,No
cohort_overlap,c_before_t_subjects,float,Yes,No
cohort_overlap,same_day_subjects,float,Yes,No
cohort_overlap,t_in_c_subjects,float,Yes,No
cohort_overlap,c_in_t_subjects,float,Yes,No
cohort_overlap,target_cohort_id,integer,Yes,Yes
cohort_overlap,comparator_cohort_id,integer,Yes,Yes
cohort_overlap,database_id,varchar(20),Yes,Yes
cohort_summary_stats,cohort_definition_id,integer,Yes,Yes
cohort_summary_stats,base_count,float,Yes,No
cohort_summary_stats,final_count,float,Yes,No
cohort_summary_stats,mode_id,integer,Yes,Yes
concept,concept_id,integer,Yes,Yes
concept,concept_name,varchar(255),Yes,No
concept,domain_id,varchar(20),Yes,No
concept,vocabulary_id,varchar(20),Yes,No
concept,concept_class_id,varchar(20),Yes,No
concept,standard_concept,varchar(1),No,No
concept,concept_code,varchar(50),Yes,No
concept,valid_start_date,Date,Yes,No
concept,valid_end_date,Date,Yes,No
concept,invalid_reason,varchar(1),No,No
concept_ancestor,ancestor_concept_id,float,Yes,Yes
concept_ancestor,descendant_concept_id,float,Yes,Yes
concept_ancestor,min_levels_of_separation,float,Yes,No
concept_ancestor,max_levels_of_separation,float,Yes,No
concept_class,concept_class_id,varchar(20),Yes,Yes
concept_class,concept_class_name,varchar(50),Yes,No
concept_class,concept_class_concept_id,integer,Yes,Yes
concept_relationship,concept_id_1,integer,Yes,Yes
concept_relationship,concept_id_2,integer,Yes,Yes
concept_relationship,relationship_id,varchar(20),Yes,Yes
concept_relationship,valid_start_date,Date,Yes,No
concept_relationship,valid_end_date,Date,Yes,No
concept_relationship,invalid_reason,varchar(1),No,No
concept_sets,cohort_id,integer,Yes,Yes
concept_sets,concept_set_id,integer,Yes,No
concept_sets,concept_set_sql,varchar(max),Yes,No
concept_sets,concept_set_name,varchar(50),Yes,No
concept_sets,concept_set_expression,varchar(max),Yes,No
covariate_ref,covariate_id,float,Yes,Yes
covariate_ref,covariate_name,varchar(max),Yes,No
covariate_ref,analysis_id,integer,Yes,No
covariate_ref,concept_id,integer,Yes,No
covariate_value,covariate_id,float,Yes,Yes
covariate_value,mean,float,Yes,No
covariate_value,average_value,float,No,No
covariate_value,sd,float,Yes,No
covariate_value,cohort_id,integer,Yes,Yes
covariate_value,database_id,varchar(20),Yes,Yes
database,database_id,varchar(20),Yes,Yes
database,database_name,varchar(50),Yes,No
database,description,varchar(max),Yes,No
database,is_meta_analysis,float,Yes,No
domain,domain_id,varchar(20),Yes,Yes
domain,domain_name,varchar(20),Yes,No
domain,domain_concept_id,integer,Yes,Yes
incidence_rate,cohort_count,float,Yes,No
incidence_rate,person_years,float,Yes,No
incidence_rate,gender,varchar(20),No,No
incidence_rate,age_group,varchar(20),No,No
incidence_rate,calendar_year,float,No,Yes
incidence_rate,incidence_rate,float,Yes,No
incidence_rate,cohort_id,integer,Yes,Yes
incidence_rate,database_id,varchar(20),Yes,Yes
included_source_concept,cohort_id,integer,Yes,Yes
included_source_concept,concept_set_id,integer,Yes,Yes
included_source_concept,concept_id,integer,Yes,Yes
included_source_concept,source_concept_id,integer,Yes,Yes
included_source_concept,concept_subjects,float,Yes,No
included_source_concept,concept_count,float,Yes,No
included_source_concept,database_id,varchar(20),Yes,Yes
inclusion_rule_stats,rule_sequence_id,integer,Yes,Yes
inclusion_rule_stats,rule_name,varchar(50),Yes,No
inclusion_rule_stats,meet_subjects,float,Yes,No
inclusion_rule_stats,gain_subjects,float,Yes,No
inclusion_rule_stats,total_subjects,float,Yes,No
inclusion_rule_stats,remain_subjects,float,Yes,No
inclusion_rule_stats,cohort_id,integer,Yes,Yes
inclusion_rule_stats,database_id,varchar(20),Yes,Yes
index_event_breakdown,concept_id,integer,Yes,Yes
index_event_breakdown,concept_count,float,Yes,No
index_event_breakdown,cohort_id,integer,Yes,Yes
index_event_breakdown,database_id,varchar(20),Yes,Yes
orphan_concept,cohort_id,integer,Yes,Yes
orphan_concept,concept_set_id,integer,Yes,Yes
orphan_concept,concept_id,integer,Yes,Yes
orphan_concept,concept_count,float,Yes,No
orphan_concept,database_id,varchar(20),Yes,Yes
relationship,relationship_id,varchar(20),Yes,Yes
relationship,relationship_name,varchar(255),Yes,No
relationship,is_hierarchical,float,Yes,No
relationship,defines_ancestry,float,Yes,No
relationship,reverse_relationship_id,varchar(20),Yes,No
relationship,relationship_concept_id,integer,Yes,No
temporal_analysis_ref,analysis_id,integer,Yes,Yes
temporal_analysis_ref,analysis_name,varchar(20),Yes,No
temporal_analysis_ref,domain_id,varchar(20),Yes,Yes
temporal_analysis_ref,is_binary,varchar(1),Yes,No
temporal_analysis_ref,missing_means_zero,varchar(1),No,No
temporal_covariate_ref,covariate_id,float,Yes,Yes
temporal_covariate_ref,covariate_name,varchar(max),Yes,No
temporal_covariate_ref,analysis_id,integer,Yes,No
temporal_covariate_ref,concept_id,integer,Yes,No
temporal_covariate_value,start_day,float,Yes,Yes
temporal_covariate_value,end_day,float,Yes,Yes
temporal_covariate_value,covariate_id,float,Yes,Yes
temporal_covariate_value,mean,float,Yes,No
temporal_covariate_value,time_id,integer,Yes,No
temporal_covariate_value,average_value,float,Yes,No
temporal_covariate_value,sd,float,Yes,No
temporal_covariate_value,cohort_id,integer,Yes,Yes
temporal_covariate_value,database_id,varchar(20),Yes,Yes
time_distribution,covariate_id,integer,Yes,Yes
time_distribution,count_value,float,Yes,No
time_distribution,min_value,float,Yes,No
time_distribution,max_value,float,Yes,No
time_distribution,average_value,float,Yes,No
time_distribution,standard_deviation,float,Yes,No
time_distribution,median_value,float,Yes,No
time_distribution,p_10_value,float,Yes,No
time_distribution,p_25_value,float,Yes,No
time_distribution,p_75_value,float,Yes,No
time_distribution,p_90_value,float,Yes,No
time_distribution,time_metric,varchar(50),Yes,No
time_distribution,analysis_id,integer,Yes,No
time_distribution,concept_id,integer,Yes,No
time_distribution,cohort_id,integer,Yes,Yes
time_distribution,database_id,varchar(20),Yes,Yes
time_ref,time_id,integer,Yes,Yes
time_ref,start_day,float,Yes,No
time_ref,end_day,float,Yes,No
vocabulary,vocabulary_id,varchar(20),Yes,Yes
vocabulary,vocabulary_name,varchar(255),Yes,No
vocabulary,vocabulary_reference,varchar(255),Yes,No
vocabulary,vocabulary_version,varchar(50),No,No
vocabulary,vocabulary_concept_id,integer,Yes,No
