covariate_id,covariate_name,analysis_id,concept_id
3000876701,measurement: Codfish IgE Ab [Units/volume] in Serum,701,3000876
3000963701,measurement: Hemoglobin,701,3000963
3001247701,measurement: Common Ragweed IgE Ab [Units/volume] in Serum,701,3001247
3001488701,measurement: Cow milk IgE Ab [Units/volume] in Serum,701,3001488
3002385701,measurement: Erythrocyte distribution width [Ratio],701,3002385
3004501701,measurement: Glucose lab,701,3004501
3005136701,measurement: Cladosporium herbarum IgE Ab [Units/volume] in Serum,701,3005136
3006322701,measurement: Oral temperature,701,3006322
3006451701,measurement: Walnut IgE Ab [Units/volume] in Serum,701,3006451
3006734701,measurement: White Oak IgE Ab [Units/volume] in Serum,701,3006734
3006906701,measurement: Calcium serum/plasma serum/plasma,701,3006906
3006923701,measurement: Alanine aminotransferase serum/plasma,701,3006923
3007461701,measurement: Platelet count,701,3007461
3009542701,measurement: Hematocrit,701,3009542
3010813701,measurement: White Blood cell (WBC) count (leukocyte),701,3010813
3011505701,measurement: FEV1/FVC,701,3011505
3012494701,measurement: Peanut IgE Ab [Units/volume] in Serum,701,3012494
3013682701,measurement: Urea nitrogen serum/plasma,701,3013682
3013721701,measurement: Aspartate aminotransferase serum/plasma,701,3013721
3014576701,measurement: Chloride serum/plasma,701,3014576
3014599701,measurement: Egg white IgE Ab [Units/volume] in Serum,701,3014599
3015076701,measurement: Soybean IgE Ab [Units/volume] in Serum,701,3015076
3015632701,measurement: Carbon dioxide serum/plasma,701,3015632
3016723701,measurement: Creatinine serum/plasma,701,3016723
3019406701,measurement: Latex IgE Ab [Units/volume] in Serum,701,3019406
3019550701,measurement: Sodium serum/plasma,701,3019550
3020630701,measurement: Protein serum/plasma,701,3020630
3020655701,measurement: Honey bee IgE Ab [Units/volume] in Serum,701,3020655
3021226701,measurement: Shrimp IgE Ab [Units/volume] in Serum,701,3021226
3023103701,measurement: Potassium serum/plasma,701,3023103
3023430701,measurement: Cat dander IgE Ab [Units/volume] in Serum,701,3023430
3024561701,measurement: Albumin serum/plasma,701,3024561
3024731701,measurement: MCV,701,3024731
3026361701,measurement: Red blood cell (RBC) count,701,3026361
3027231701,measurement: Wheat IgE Ab [Units/volume] in Serum,701,3027231
3027970701,measurement: Globulin [Mass/volume] in Serum by calculation,701,3027970
3028833701,measurement: Bilirubin.total [Mass/volume] in Blood,701,3028833
3035995701,measurement: Alkaline phosphatase serum/plasma,701,3035995
3036780701,measurement: American house dust mite IgE Ab [Units/volume] in Serum,701,3036780
3045716701,measurement: Anion gap serum/plasma,701,3045716
3051031701,measurement: History of Hospitalizations+Outpatient visits Narrative,701,3051031
4024958701,measurement: Throat culture,701,4024958
4052083701,measurement: Measurement of respiratory function,701,4052083
4133840701,measurement: Spirometry,701,4133840
21494966701,measurement: Physical findings of Abdomen by Palpation,701,21494966
40758406701,measurement: HIV status,701,40758406
40766240701,measurement: Are you covered by health insurance or some other kind of health care plan [PhenX],701,40766240
40769179701,measurement: Percentage area affected by eczema Head and Neck [PhenX],701,40769179
40769184701,measurement: Percentage area affected by eczema Upper extremity - bilateral [PhenX],701,40769184
40769189701,measurement: Percentage area affected by eczema Trunk [PhenX],701,40769189
40769194701,measurement: Percentage area affected by eczema Lower extremity - bilateral [PhenX],701,40769194
46235214701,measurement: Sexual orientation,701,46235214
3049273701,measurement: DXA Radius and Ulna [T-score] Bone density,701,3049273
28060101,condition_occurrence: Streptococcal sore throat,101,28060
30753101,condition_occurrence: Esophagitis,101,30753
78272101,condition_occurrence: Sprain of wrist,101,78272
80180101,condition_occurrence: Osteoarthritis,101,80180
80809101,condition_occurrence: Rheumatoid arthritis,101,80809
81151101,condition_occurrence: Sprain of ankle,101,81151
81893101,condition_occurrence: Ulcerative colitis,101,81893
134438101,condition_occurrence: Contact dermatitis,101,134438
192671101,condition_occurrence: Gastrointestinal hemorrhage,101,192671
195588101,condition_occurrence: Cystitis,101,195588
196456101,condition_occurrence: Gallstone,101,196456
198199101,condition_occurrence: Pyelonephritis,101,198199
198809101,condition_occurrence: Acute cholecystitis,101,198809
257012101,condition_occurrence: Chronic sinusitis,101,257012
258780101,condition_occurrence: Emphysematous bronchitis,101,258780
260139101,condition_occurrence: Acute bronchitis,101,260139
261325101,condition_occurrence: Pulmonary emphysema,101,261325
317576101,condition_occurrence: Coronary arteriosclerosis,101,317576
321042101,condition_occurrence: Cardiac arrest,101,321042
372328101,condition_occurrence: Otitis media,101,372328
375671101,condition_occurrence: Concussion with loss of consciousness,101,375671
378001101,condition_occurrence: Concussion with no loss of consciousness,101,378001
381316101,condition_occurrence: Cerebrovascular accident,101,381316
439777101,condition_occurrence: Anemia,101,439777
440448101,condition_occurrence: Appendicitis,101,440448
4001336101,condition_occurrence: Concussion injury of brain,101,4001336
4029498101,condition_occurrence: Seizure disorder,101,4029498
4035415101,condition_occurrence: Tear of meniscus of knee,101,4035415
4056621101,condition_occurrence: Recurrent urinary tract infection,101,4056621
4059173101,condition_occurrence: Fracture of ankle,101,4059173
4084167101,condition_occurrence: Acute allergic reaction,101,4084167
4094814101,condition_occurrence: Bullet wound,101,4094814
4109685101,condition_occurrence: Laceration of foot,101,4109685
4112343101,condition_occurrence: Acute viral pharyngitis,101,4112343
4113008101,condition_occurrence: Laceration of hand,101,4113008
4116491101,condition_occurrence: Escherichia coli urinary tract infection,101,4116491
4132546101,condition_occurrence: Traumatic brain injury,101,4132546
4134304101,condition_occurrence: Fracture subluxation of wrist,101,4134304
4142905101,condition_occurrence: Fracture of rib,101,4142905
