either_subjects,both_subjects,t_only_subjects,c_only_subjects,t_before_c_subjects,c_before_t_subjects,same_day_subjects,t_in_c_subjects,c_in_t_subjects,target_cohort_id,comparator_cohort_id,database_id
2630,0,1800,830,0,0,0,0,0,14906,14907,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,14906,18345,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,14906,18346,Eunomia
2630,0,1800,830,0,0,0,0,0,14906,18347,Eunomia
2630,0,1800,830,0,0,0,0,0,14906,18348,Eunomia
2195,0,1800,395,0,0,0,0,0,14906,18349,Eunomia
2195,0,1800,395,0,0,0,0,0,14906,18350,Eunomia
1890,228,1572,90,212,16,0,16,0,14906,21402,Eunomia
2630,0,830,1800,0,0,0,0,0,14907,18345,Eunomia
2630,0,830,1800,0,0,0,0,0,14907,18346,Eunomia
830,830,0,0,0,0,830,830,830,14907,18347,Eunomia
830,830,0,0,0,0,830,830,830,14907,18348,Eunomia
830,395,435,0,0,0,395,395,395,14907,18349,Eunomia
830,395,435,0,0,0,395,395,395,14907,18350,Eunomia
1063,85,745,233,83,2,0,2,0,14907,21402,Eunomia
479,479,0,0,0,0,479,479,479,14909,17492,Eunomia
479,479,0,0,0,0,479,479,479,14909,17493,Eunomia
479,479,0,0,0,0,479,479,479,14909,18342,Eunomia
479,479,0,0,0,0,479,479,479,17492,17493,Eunomia
479,479,0,0,0,0,479,479,479,17492,18342,Eunomia
479,479,0,0,0,0,479,479,479,17493,18342,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,18345,18346,Eunomia
2630,0,1800,830,0,0,0,0,0,18345,18347,Eunomia
2630,0,1800,830,0,0,0,0,0,18345,18348,Eunomia
2195,0,1800,395,0,0,0,0,0,18345,18349,Eunomia
2195,0,1800,395,0,0,0,0,0,18345,18350,Eunomia
1890,228,1572,90,212,16,0,16,0,18345,21402,Eunomia
2630,0,1800,830,0,0,0,0,0,18346,18347,Eunomia
2630,0,1800,830,0,0,0,0,0,18346,18348,Eunomia
2195,0,1800,395,0,0,0,0,0,18346,18349,Eunomia
2195,0,1800,395,0,0,0,0,0,18346,18350,Eunomia
1890,228,1572,90,212,16,0,16,0,18346,21402,Eunomia
830,830,0,0,0,0,830,830,830,18347,18348,Eunomia
830,395,435,0,0,0,395,395,395,18347,18349,Eunomia
830,395,435,0,0,0,395,395,395,18347,18350,Eunomia
1063,85,745,233,83,2,0,2,0,18347,21402,Eunomia
830,395,435,0,0,0,395,395,395,18348,18349,Eunomia
830,395,435,0,0,0,395,395,395,18348,18350,Eunomia
1063,85,745,233,83,2,0,2,0,18348,21402,Eunomia
395,395,0,0,0,0,395,395,395,18349,18350,Eunomia
675,38,357,280,37,1,0,1,0,18349,21402,Eunomia
675,38,357,280,37,1,0,1,0,18350,21402,Eunomia
2630,0,830,1800,0,0,0,0,0,14907,14906,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,18345,14906,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,18346,14906,Eunomia
2630,0,830,1800,0,0,0,0,0,18347,14906,Eunomia
2630,0,830,1800,0,0,0,0,0,18348,14906,Eunomia
2195,0,395,1800,0,0,0,0,0,18349,14906,Eunomia
2195,0,395,1800,0,0,0,0,0,18350,14906,Eunomia
1890,228,90,1572,16,212,0,0,16,21402,14906,Eunomia
2630,0,1800,830,0,0,0,0,0,18345,14907,Eunomia
2630,0,1800,830,0,0,0,0,0,18346,14907,Eunomia
830,830,0,0,0,0,830,830,830,18347,14907,Eunomia
830,830,0,0,0,0,830,830,830,18348,14907,Eunomia
830,395,0,435,0,0,395,395,395,18349,14907,Eunomia
830,395,0,435,0,0,395,395,395,18350,14907,Eunomia
1063,85,233,745,2,83,0,0,2,21402,14907,Eunomia
479,479,0,0,0,0,479,479,479,17492,14909,Eunomia
479,479,0,0,0,0,479,479,479,17493,14909,Eunomia
479,479,0,0,0,0,479,479,479,18342,14909,Eunomia
479,479,0,0,0,0,479,479,479,17493,17492,Eunomia
479,479,0,0,0,0,479,479,479,18342,17492,Eunomia
479,479,0,0,0,0,479,479,479,18342,17493,Eunomia
1800,1800,0,0,0,0,1800,1800,1800,18346,18345,Eunomia
2630,0,830,1800,0,0,0,0,0,18347,18345,Eunomia
2630,0,830,1800,0,0,0,0,0,18348,18345,Eunomia
2195,0,395,1800,0,0,0,0,0,18349,18345,Eunomia
2195,0,395,1800,0,0,0,0,0,18350,18345,Eunomia
1890,228,90,1572,16,212,0,0,16,21402,18345,Eunomia
2630,0,830,1800,0,0,0,0,0,18347,18346,Eunomia
2630,0,830,1800,0,0,0,0,0,18348,18346,Eunomia
2195,0,395,1800,0,0,0,0,0,18349,18346,Eunomia
2195,0,395,1800,0,0,0,0,0,18350,18346,Eunomia
1890,228,90,1572,16,212,0,0,16,21402,18346,Eunomia
830,830,0,0,0,0,830,830,830,18348,18347,Eunomia
830,395,0,435,0,0,395,395,395,18349,18347,Eunomia
830,395,0,435,0,0,395,395,395,18350,18347,Eunomia
1063,85,233,745,2,83,0,0,2,21402,18347,Eunomia
830,395,0,435,0,0,395,395,395,18349,18348,Eunomia
830,395,0,435,0,0,395,395,395,18350,18348,Eunomia
1063,85,233,745,2,83,0,0,2,21402,18348,Eunomia
395,395,0,0,0,0,395,395,395,18350,18349,Eunomia
675,38,280,357,1,37,0,0,1,21402,18349,Eunomia
675,38,280,357,1,37,0,0,1,21402,18350,Eunomia
