cohortId,task,checksum,timeStamp
17492,runInclusionStatistics,4dc7d139288fc17f8028978a0c93e127,2021-04-13 10:32:10
17493,runInclusionStatistics,76a1f043fc718c2a6793a0691bed95d5,2021-04-13 10:32:10
14909,runInclusionStatistics,e313ed729fff59c1c1c8f26634c30e34,2021-04-13 10:32:10
18342,runInclusionStatistics,4dc7d139288fc17f8028978a0c93e127,2021-04-13 10:32:10
18345,runInclusionStatistics,7b0a4c1afa40fdf1ac7a8cfe3ab83d5b,2021-04-13 10:32:10
18346,runInclusionStatistics,f5363d8ed300f65bed500e293c31cce4,2021-04-13 10:32:10
18347,runInclusionStatistics,bbdc2789f1742b364b996fb35d87fa63,2021-04-13 10:32:10
18348,runInclusionStatistics,5c153e6336392f9c379d2b6aa3a42554,2021-04-13 10:32:10
18349,runInclusionStatistics,08144fa92dbb86f9d0731e39a97e380c,2021-04-13 10:32:10
18350,runInclusionStatistics,4fd372641d6d9f74c0492172103f64d1,2021-04-13 10:32:10
14906,runInclusionStatistics,7769d1d682eb99f137885f71f96c9185,2021-04-13 10:32:10
14907,runInclusionStatistics,11b98572057af835fd7fc29bf11d765e,2021-04-13 10:32:10
21402,runInclusionStatistics,e4a85e6bf684efd9b442bdbd43d6cb0a,2021-04-13 10:32:10
17492,runIncludedSourceConcepts,4dc7d139288fc17f8028978a0c93e127,2021-04-13 10:32:39
17493,runIncludedSourceConcepts,76a1f043fc718c2a6793a0691bed95d5,2021-04-13 10:32:39
17692,runIncludedSourceConcepts,49abccf545ca81622643113e99611b33,2021-04-13 10:32:39
17693,runIncludedSourceConcepts,280fcd2d394a5ac28e8df98266ef7be5,2021-04-13 10:32:39
17694,runIncludedSourceConcepts,427c2951ad548c6681cb39706005752f,2021-04-13 10:32:39
17720,runIncludedSourceConcepts,b42e802e02e60ef298c1643351e5ef8d,2021-04-13 10:32:39
17695,runIncludedSourceConcepts,5df3bdce25d3625f4729e8eb666e6813,2021-04-13 10:32:39
14909,runIncludedSourceConcepts,e313ed729fff59c1c1c8f26634c30e34,2021-04-13 10:32:39
18342,runIncludedSourceConcepts,4dc7d139288fc17f8028978a0c93e127,2021-04-13 10:32:39
18345,runIncludedSourceConcepts,7b0a4c1afa40fdf1ac7a8cfe3ab83d5b,2021-04-13 10:32:39
18346,runIncludedSourceConcepts,f5363d8ed300f65bed500e293c31cce4,2021-04-13 10:32:39
18347,runIncludedSourceConcepts,bbdc2789f1742b364b996fb35d87fa63,2021-04-13 10:32:39
18348,runIncludedSourceConcepts,5c153e6336392f9c379d2b6aa3a42554,2021-04-13 10:32:39
18349,runIncludedSourceConcepts,08144fa92dbb86f9d0731e39a97e380c,2021-04-13 10:32:39
18350,runIncludedSourceConcepts,4fd372641d6d9f74c0492172103f64d1,2021-04-13 10:32:39
14906,runIncludedSourceConcepts,7769d1d682eb99f137885f71f96c9185,2021-04-13 10:32:39
18351,runIncludedSourceConcepts,939d15a0ea1c8925a05e5f21d9b1f127,2021-04-13 10:32:39
14907,runIncludedSourceConcepts,11b98572057af835fd7fc29bf11d765e,2021-04-13 10:32:39
18352,runIncludedSourceConcepts,9f51869efb47d1dcda4cc7a71677fde6,2021-04-13 10:32:39
21402,runIncludedSourceConcepts,e4a85e6bf684efd9b442bdbd43d6cb0a,2021-04-13 10:32:39
