concept_id,concept_count,subject_count,cohort_id,database_id
44923712,1800,1800,14906,Eunomia
1118084,1800,1800,14906,Eunomia
45011828,830,830,14907,Eunomia
1124300,830,830,14907,Eunomia
35208414,479,479,14909,Eunomia
192671,479,479,14909,Eunomia
35208414,479,479,17492,Eunomia
192671,479,479,17492,Eunomia
35208414,479,479,17493,Eunomia
192671,479,479,17493,Eunomia
35208414,479,479,18342,Eunomia
192671,479,479,18342,Eunomia
44923712,1800,1800,18345,Eunomia
1118084,1800,1800,18345,Eunomia
44923712,1800,1800,18346,Eunomia
1118084,1800,1800,18346,Eunomia
45011828,830,830,18347,Eunomia
1124300,830,830,18347,Eunomia
45011828,830,830,18348,Eunomia
1124300,830,830,18348,Eunomia
45011828,395,395,18349,Eunomia
1124300,395,395,18349,Eunomia
45011828,395,395,18350,Eunomia
1124300,395,395,18350,Eunomia
