covariate_id,covariate_name,analysis_id,concept_id
28060212,condition_era group during day -30 through 0 days relative to index: Streptococcal sore throat,212,28060
78272212,condition_era group during day -30 through 0 days relative to index: Sprain of wrist,212,78272
80180212,condition_era group during day -30 through 0 days relative to index: Osteoarthritis,212,80180
80809212,condition_era group during day -30 through 0 days relative to index: Rheumatoid arthritis,212,80809
134438212,condition_era group during day -30 through 0 days relative to index: Contact dermatitis,212,134438
195588212,condition_era group during day -30 through 0 days relative to index: Cystitis,212,195588
257012212,condition_era group during day -30 through 0 days relative to index: Chronic sinusitis,212,257012
260139212,condition_era group during day -30 through 0 days relative to index: Acute bronchitis,212,260139
317576212,condition_era group during day -30 through 0 days relative to index: Coronary arteriosclerosis,212,317576
372328212,condition_era group during day -30 through 0 days relative to index: Otitis media,212,372328
375671212,condition_era group during day -30 through 0 days relative to index: Concussion with loss of consciousness,212,375671
439777212,condition_era group during day -30 through 0 days relative to index: Anemia,212,439777
4001336212,condition_era group during day -30 through 0 days relative to index: Concussion injury of brain,212,4001336
4048171212,condition_era group during day -30 through 0 days relative to index: Perennial allergic rhinitis with seasonal variation,212,4048171
4084167212,condition_era group during day -30 through 0 days relative to index: Acute allergic reaction,212,4084167
4112343212,condition_era group during day -30 through 0 days relative to index: Acute viral pharyngitis,212,4112343
4116491212,condition_era group during day -30 through 0 days relative to index: Escherichia coli urinary tract infection,212,4116491
4132546212,condition_era group during day -30 through 0 days relative to index: Traumatic brain injury,212,4132546
4134304212,condition_era group during day -30 through 0 days relative to index: Fracture subluxation of wrist,212,4134304
4152936212,condition_era group during day -30 through 0 days relative to index: Laceration of thigh,212,4152936
4218389212,condition_era group during day -30 through 0 days relative to index: Whiplash injury to neck,212,4218389
4237458212,condition_era group during day -30 through 0 days relative to index: Fracture of clavicle,212,4237458
4266809212,condition_era group during day -30 through 0 days relative to index: Diverticular disease,212,4266809
4278672212,condition_era group during day -30 through 0 days relative to index: Fracture of forearm,212,4278672
