cohortId,task,checksum,timeStamp,comparatorId
17492,runInclusionStatistics,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:05:46,NA
17493,runInclusionStatistics,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:05:46,NA
17492,runBreakdownIndexEvents,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:11:11,NA
17493,runBreakdownIndexEvents,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:11:11,NA
17692,runBreakdownIndexEvents,49abccf545ca81622643113e99611b33,2021-03-01 18:11:11,NA
17693,runBreakdownIndexEvents,280fcd2d394a5ac28e8df98266ef7be5,2021-03-01 18:11:11,NA
17694,runBreakdownIndexEvents,427c2951ad548c6681cb39706005752f,2021-03-01 18:11:11,NA
17720,runBreakdownIndexEvents,b42e802e02e60ef298c1643351e5ef8d,2021-03-01 18:11:11,NA
17492,runTimeDistributions,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:18:41,NA
17493,runTimeDistributions,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:18:41,NA
17492,runVisitContext,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:20:20,NA
17493,runVisitContext,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:20:20,NA
17492,runIncidenceRate,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:25:01,NA
17493,runIncidenceRate,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:25:01,NA
17492,runCohortOverlap,4dc7d139288fc17f8028978a0c93e127 76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:27:29,17493
17692,runCohortOverlap,49abccf545ca81622643113e99611b33 280fcd2d394a5ac28e8df98266ef7be5,2021-03-01 18:27:29,17693
17692,runCohortOverlap,49abccf545ca81622643113e99611b33 427c2951ad548c6681cb39706005752f,2021-03-01 18:27:29,17694
17692,runCohortOverlap,49abccf545ca81622643113e99611b33 b42e802e02e60ef298c1643351e5ef8d,2021-03-01 18:27:29,17720
17693,runCohortOverlap,280fcd2d394a5ac28e8df98266ef7be5 427c2951ad548c6681cb39706005752f,2021-03-01 18:27:29,17694
17693,runCohortOverlap,280fcd2d394a5ac28e8df98266ef7be5 b42e802e02e60ef298c1643351e5ef8d,2021-03-01 18:27:29,17720
17694,runCohortOverlap,427c2951ad548c6681cb39706005752f b42e802e02e60ef298c1643351e5ef8d,2021-03-01 18:27:29,17720
17492,runCohortCharacterization,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:27:56,NA
17493,runCohortCharacterization,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:27:56,NA
17492,runTemporalCohortCharacterization,4dc7d139288fc17f8028978a0c93e127,2021-03-01 18:28:19,NA
17493,runTemporalCohortCharacterization,76a1f043fc718c2a6793a0691bed95d5,2021-03-01 18:28:19,NA
