tableName,fieldName,type,isRequired,primaryKey,optional,emptyIsNa
analysis_ref,analysis_id,bigint,Yes,Yes,No,Yes
analysis_ref,analysis_name,varchar,Yes,No,No,Yes
analysis_ref,domain_id,varchar(20),No,No,No,Yes
analysis_ref,is_binary,varchar(1),Yes,No,No,Yes
analysis_ref,missing_means_zero,varchar(1),No,No,No,Yes
cohort,cohort_id,bigint,Yes,Yes,No,Yes
cohort,cohort_name,varchar,Yes,No,No,Yes
cohort,metadata,varchar,No,No,Yes,Yes
cohort,sql,varchar,Yes,No,No,Yes
cohort,json,varchar,Yes,No,No,Yes
cohort_count,database_id,varchar,Yes,Yes,No,Yes
cohort_count,cohort_id,bigint,Yes,Yes,No,Yes
cohort_count,cohort_entries,float,Yes,No,No,Yes
cohort_count,cohort_subjects,float,Yes,No,No,Yes
cohort_inclusion,database_id,varchar,Yes,Yes,No,Yes
cohort_inclusion,cohort_id,bigint,Yes,Yes,No,Yes
cohort_inclusion,rule_sequence,int,Yes,Yes,No,Yes
cohort_inclusion,name,varchar,No,No,Yes,Yes
cohort_inclusion,description,varchar,No,No,Yes,Yes
cohort_inclusion_result,database_id,varchar,Yes,Yes,No,Yes
cohort_inclusion_result,cohort_id,bigint,Yes,Yes,No,Yes
cohort_inclusion_result,mode_id,int,Yes,Yes,No,Yes
cohort_inclusion_result,inclusion_rule_mask,int,Yes,Yes,No,Yes
cohort_inclusion_result,person_count,float,Yes,No,No,Yes
cohort_inclusion_stats,database_id,varchar,Yes,Yes,No,Yes
cohort_inclusion_stats,cohort_id,bigint,Yes,Yes,No,Yes
cohort_inclusion_stats,rule_sequence,int,Yes,Yes,No,Yes
cohort_inclusion_stats,mode_id,int,Yes,Yes,No,Yes
cohort_inclusion_stats,person_count,float,Yes,No,No,Yes
cohort_inclusion_stats,gain_count,float,Yes,No,No,Yes
cohort_inclusion_stats,person_total,float,Yes,No,No,Yes
cohort_summary_stats,database_id,varchar,Yes,Yes,No,Yes
cohort_summary_stats,cohort_id,bigint,Yes,Yes,No,Yes
cohort_summary_stats,mode_id,int,Yes,Yes,No,No
cohort_summary_stats,base_count,float,Yes,No,No,Yes
cohort_summary_stats,final_count,float,Yes,No,No,Yes
cohort_relationships,database_id,varchar,Yes,Yes,No,Yes
cohort_relationships,cohort_id,bigint,Yes,Yes,No,Yes
cohort_relationships,comparator_cohort_id,bigint,Yes,Yes,No,Yes
cohort_relationships,start_day,bigint,No,Yes,No,Yes
cohort_relationships,end_day,float,No,Yes,No,Yes
cohort_relationships,subjects,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_before_ts,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_before_ts,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_on_ts,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_on_ts,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_after_ts,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_after_ts,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_before_te,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_before_te,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_on_te,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_on_te,bigint,Yes,No,No,Yes
cohort_relationships,sub_cs_after_te,bigint,Yes,No,No,Yes
cohort_relationships,rec_cs_after_te,bigint,Yes,No,No,Yes
